"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"04/07/2025","3.670","3.680","3.710","3.650","91,14M","-0,27%"
"03/07/2025","3.680","3.710","3.730","3.680","119,67M","0,00%"
"02/07/2025","3.680","3.650","3.700","3.640","220,27M","-0,54%"
"01/07/2025","3.700","3.780","3.790","3.670","212,37M","-1,07%"
"30/06/2025","3.740","3.840","3.840","3.730","271,93M","-2,35%"
"26/06/2025","3.830","3.780","3.830","3.750","171,43M","1,86%"
"25/06/2025","3.760","3.830","3.830","3.730","164,26M","-0,53%"
"24/06/2025","3.780","3.820","3.900","3.770","281,59M","1,61%"
"23/06/2025","3.720","3.730","3.750","3.660","222,07M","-1,85%"
"20/06/2025","3.790","3.740","3.840","3.740","516,18M","-0,26%"
"19/06/2025","3.800","3.900","3.920","3.800","355,41M","-3,55%"
"18/06/2025","3.940","3.950","3.960","3.900","140,88M","-0,51%"
"17/06/2025","3.960","4.010","4.030","3.960","125,77M","-0,75%"
"16/06/2025","3.990","3.980","4.010","3.960","155,45M","-0,25%"
"13/06/2025","4.000","4.020","4.050","3.980","283,83M","-1,72%"
"12/06/2025","4.070","4.070","4.100","4.060","113,85M","0,00%"
"11/06/2025","4.070","4.130","4.140","4.060","196,56M","-1,93%"
"10/06/2025","4.150","4.100","4.160","4.100","179,83M","1,22%"
"05/06/2025","4.100","4.110","4.140","4.050","230,13M","0,49%"
"04/06/2025","4.080","4.230","4.230","4.080","279,76M","-2,86%"
"03/06/2025","4.200","4.210","4.230","4.120","277,90M","0,00%"
"02/06/2025","4.200","4.360","4.390","4.200","389,54M","-5,62%"
"28/05/2025","4.450","4.360","4.450","4.320","466,13M","1,83%"
"27/05/2025","4.370","4.320","4.370","4.280","180,03M","1,16%"
"26/05/2025","4.320","4.350","4.350","4.260","149,42M","-0,69%"
"23/05/2025","4.350","4.370","4.370","4.330","187,46M","1,16%"
"22/05/2025","4.300","4.280","4.310","4.240","208,29M","0,94%"
"21/05/2025","4.260","4.210","4.310","4.210","256,02M","1,19%"
"20/05/2025","4.210","4.230","4.280","4.170","209,58M","-0,47%"
"19/05/2025","4.230","4.230","4.260","4.200","145,94M","-0,47%"
"16/05/2025","4.250","4.310","4.330","4.160","289,34M","-0,47%"
"15/05/2025","4.270","4.140","4.310","4.130","537,15M","4,40%"
"14/05/2025","4.090","4.000","4.090","3.960","461,64M","6,51%"
"09/05/2025","3.840","3.810","3.840","3.760","147,64M","1,32%"
"08/05/2025","3.790","3.910","3.960","3.780","224,12M","-3,07%"
"07/05/2025","3.910","3.900","3.910","3.870","119,76M","0,77%"
"06/05/2025","3.880","3.840","3.900","3.840","111,33M","0,52%"
"05/05/2025","3.860","3.900","3.920","3.860","196,92M","-0,52%"
"02/05/2025","3.880","3.920","3.920","3.850","205,63M","0,78%"
