Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%,date,avg_signed_sentiment,count_positive,count_negative,count_neutral,total_tweets
2025-07-04,3.67,3.68,3.71,3.65,"91,14M","-0,27%",2025-07-04,-0.000959508731716969,4.0,3.0,54.0,61.0
2025-07-03,3.68,3.71,3.73,3.68,"119,67M","0,00%",2025-07-03,0.05203315101820847,5.0,3.0,21.0,29.0
2025-07-02,3.68,3.65,3.7,3.64,"220,27M","-0,54%",2025-07-02,-0.007767382264137268,2.0,2.0,16.0,20.0
2025-07-01,3.7,3.78,3.79,3.67,"212,37M","-1,07%",2025-07-01,-0.018502699832121532,4.0,4.0,16.0,24.0
2025-06-30,3.74,3.84,3.84,3.73,"271,93M","-2,35%",2025-06-30,-0.12455282041004725,0.0,2.0,12.0,14.0
2025-06-26,3.83,3.78,3.83,3.75,"171,43M","1,86%",2025-06-26,0.1987894058227539,1.0,0.0,4.0,5.0
2025-06-25,3.76,3.83,3.83,3.73,"164,26M","-0,53%",2025-06-25,-0.07215367754300435,0.0,1.0,11.0,12.0
2025-06-24,3.78,3.82,3.9,3.77,"281,59M","1,61%",2025-06-24,0.0,0.0,0.0,15.0,15.0
2025-06-23,3.72,3.73,3.75,3.66,"222,07M","-1,85%",2025-06-23,-0.3748369174344199,0.0,6.0,8.0,14.0
2025-06-20,3.79,3.74,3.84,3.74,"516,18M","-0,26%",2025-06-20,-0.11126215060551961,2.0,3.0,10.0,15.0
2025-06-19,3.8,3.9,3.92,3.8,"355,41M","-3,55%",2025-06-19,-0.1552747201036524,2.0,7.0,18.0,27.0
2025-06-18,3.94,3.95,3.96,3.9,"140,88M","-0,51%",2025-06-18,-0.13893070726683646,4.0,8.0,21.0,33.0
2025-06-17,3.96,4.01,4.03,3.96,"125,77M","-0,75%",2025-06-17,0.04739862680435181,3.0,2.0,13.0,18.0
2025-06-16,3.99,3.98,4.01,3.96,"155,45M","-0,25%",2025-06-16,-0.12616280409005973,1.0,3.0,9.0,13.0
2025-06-13,4.0,4.02,4.05,3.98,"283,83M","-1,72%",2025-06-13,0.16347633202870687,4.0,1.0,10.0,15.0
2025-06-12,4.07,4.07,4.1,4.06,"113,85M","0,00%",2025-06-12,0.04669257998466492,1.0,1.0,6.0,8.0
2025-06-11,4.07,4.13,4.14,4.06,"196,56M","-1,93%",2025-06-11,0.037650046348571775,3.0,1.0,21.0,25.0
2025-06-10,4.15,4.1,4.16,4.1,"179,83M","1,22%",2025-06-10,-0.054509866237640384,1.0,1.0,3.0,5.0
2025-06-05,4.1,4.11,4.14,4.05,"230,13M","0,49%",2025-06-05,0.17983428239822388,3.0,0.0,12.0,15.0
2025-06-04,4.08,4.23,4.23,4.08,"279,76M","-2,86%",2025-06-04,0.0,0.0,0.0,17.0,17.0
2025-06-03,4.2,4.21,4.23,4.12,"277,90M","0,00%",2025-06-03,-0.014521283762795585,8.0,8.0,19.0,35.0
2025-06-02,4.2,4.36,4.39,4.2,"389,54M","-5,62%",2025-06-02,-0.11479348249924488,5.0,10.0,24.0,39.0
2025-05-28,4.45,4.36,4.45,4.32,"466,13M","1,83%",2025-05-28,-0.19850453436374665,2.0,6.0,12.0,20.0
2025-05-27,4.37,4.32,4.37,4.28,"180,03M","1,16%",2025-05-27,0.3024325370788574,3.0,0.0,6.0,9.0
2025-05-26,4.32,4.35,4.35,4.26,"149,42M","-0,69%",2025-05-26,-0.12827438116073608,1.0,3.0,7.0,11.0
2025-05-23,4.35,4.37,4.37,4.33,"187,46M","1,16%",2025-05-23,-0.020539915561676024,4.0,4.0,12.0,20.0
2025-05-22,4.3,4.28,4.31,4.24,"208,29M","0,94%",2025-05-22,0.04595054598415599,3.0,2.0,12.0,17.0
2025-05-21,4.26,4.21,4.31,4.21,"256,02M","1,19%",2025-05-21,-0.1530464817495907,0.0,3.0,14.0,17.0
2025-05-20,4.21,4.23,4.28,4.17,"209,58M","-0,47%",2025-05-20,0.04857242458006915,4.0,3.0,10.0,17.0
2025-05-19,4.23,4.23,4.26,4.2,"145,94M","-0,47%",2025-05-19,0.33106398085753125,10.0,1.0,13.0,24.0
2025-05-16,4.25,4.31,4.33,4.16,"289,34M","-0,47%",2025-05-16,-0.17684121264351738,3.0,7.0,17.0,27.0
2025-05-15,4.27,4.14,4.31,4.13,"537,15M","4,40%",2025-05-15,0.07517805525234768,18.0,12.0,40.0,70.0
2025-05-14,4.09,4.0,4.09,3.96,"461,64M","6,51%",2025-05-14,-0.08592185691783302,1.0,5.0,32.0,38.0
2025-05-09,3.84,3.81,3.84,3.76,"147,64M","1,32%",2025-05-09,0.0,0.0,0.0,5.0,5.0
2025-05-08,3.79,3.91,3.96,3.78,"224,12M","-3,07%",2025-05-08,-0.20979772295270646,0.0,3.0,11.0,14.0
2025-05-07,3.91,3.9,3.91,3.87,"119,76M","0,77%",2025-05-07,-0.22053669889767966,0.0,2.0,4.0,6.0
2025-05-06,3.88,3.84,3.9,3.84,"111,33M","0,52%",2025-05-06,-0.010816223481122185,1.0,1.0,15.0,17.0
2025-05-05,3.86,3.9,3.92,3.86,"196,92M","-0,52%",2025-05-05,0.18010989060768715,5.0,0.0,21.0,26.0
2025-05-02,3.88,3.92,3.92,3.85,"205,63M","0,78%",2025-05-02,,,,,
