created_at,full_text,id_str,lang,sentiment_result,sentiment,score
2025-07-04 14:30:19+00:00,@PrepaTAP JP Morgan jual BBCA &amp; BMRI tapi beli BBRI doang. Artinya? Percaya! ,1941142533721227304,in,"{'label': 'negative', 'score': 0.9968525767326355}",negative,0.9968525767326355
2025-07-04 14:30:01+00:00,@PrepaTAP Koreksi BBRI cuma diskon. Siap-siap mantul!,1941142458395697514,in,"{'label': 'neutral', 'score': 0.7523908019065857}",neutral,0.7523908019065857
2025-07-04 14:29:56+00:00,@PrepaTAP Target 4700 makin kebuka nih! Gas pol BBRI! ,1941142439630413904,in,"{'label': 'neutral', 'score': 0.9513648152351379}",neutral,0.9513648152351379
2025-07-04 14:29:46+00:00,@PrepaTAP Fix BBRI makin solid kepercayaan global balik lagi.,1941142394822652248,in,"{'label': 'neutral', 'score': 0.5241761803627014}",neutral,0.5241761803627014
2025-07-04 14:28:48+00:00,@PrepaTAP Hold BBRI = tidur nyenyak bangun bangun cuan. ,1941142150911242471,in,"{'label': 'neutral', 'score': 0.9927531480789185}",neutral,0.9927531480789185
2025-07-04 14:28:30+00:00,@PrepaTAP JP Morgan balik nambah BBRI sinyal cuan makin tebal! ,1941142075468353756,in,"{'label': 'neutral', 'score': 0.9645391702651978}",neutral,0.9645391702651978
2025-07-04 13:55:05+00:00,Prospek saham BBRI terang benderang di tengah awan global. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/I29cvt5vrw,1941133667511967770,in,"{'label': 'neutral', 'score': 0.9660540819168091}",neutral,0.9660540819168091
2025-07-04 13:54:58+00:00,Saat geopolitik tak pasti BBRI tetap stabil dan atraktif. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/yJATVD4inw,1941133638575534416,in,"{'label': 'neutral', 'score': 0.5306867957115173}",neutral,0.5306867957115173
2025-07-04 13:52:23+00:00,Saham BBRI tetap diminati karena prospeknya terukur dan stabil. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/gKtOGFNok2,1941132988236124629,in,"{'label': 'neutral', 'score': 0.5466386675834656}",neutral,0.5466386675834656
2025-07-04 13:51:52+00:00,BBRI bukan hanya saham tapi simbol kepercayaan jangka panjang. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/L1a6uWMgLE,1941132859827450254,in,"{'label': 'neutral', 'score': 0.7840692400932312}",neutral,0.7840692400932312
2025-07-04 13:50:43+00:00,Investor besar tahu: BBRI punya arah dan daya tahan jangka panjang. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/V7a3dGhnBY,1941132568902209690,in,"{'label': 'neutral', 'score': 0.864899754524231}",neutral,0.864899754524231
2025-07-04 13:50:07+00:00,bbri kok kaya tai,1941132418771218704,in,"{'label': 'negative', 'score': 0.9976473450660706}",negative,0.9976473450660706
2025-07-04 13:43:18+00:00,Saham BBRI jadi indikator kekuatan perbankan Indonesia. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/bt8lOU9MDa,1941130700750803274,in,"{'label': 'neutral', 'score': 0.9921229481697083}",neutral,0.9921229481697083
